default 15.5555556,
Minutes,AmbientT
100,15
101,14.5
102,14
103,13.5
104,13
105,12.5
106,12
107,11.5
108,11
109,10.5
110,10
111,9.5
112,9
113,8.5
114,8
115,7.5
116,7
117,6.5
118,6
119,5.5
120,5
121,4.5
122,4
123,3.5
124,3
125,2.5
126,2
127,1.5
128,1
129,0.5
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0.5
261,1
262,1.5
263,2
264,2.5
265,3
266,3.5
267,4
268,4.5
269,5
270,5.5
271,6
272,6.5
273,7
274,7.5
275,8
276,8.5
277,9
278,9.5
279,10
280,10.5
281,11
282,11.5
283,12
284,12.5
285,13
286,13.5
287,14
288,14.5
289,15
290,15.5
